"file_label","data_domain","cycle_or_year","cycle_suffix","module","file_type","source_url","required_for","expected_cache_subdir","participant_level_raw_file_included"
"ALB_CR_F.XPT","NHANES public-use data","2009-2010","F","urine_albumin_creatinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/ALB_CR_F.XPT","urine_albumin_creatinine","2009-2010","no"
"BIOPRO_F.XPT","NHANES public-use data","2009-2010","F","biochemistry_serum_uric_acid","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BIOPRO_F.XPT","biochemistry_serum_uric_acid","2009-2010","no"
"BMX_F.XPT","NHANES public-use data","2009-2010","F","body_measures","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BMX_F.XPT","body_measures","2009-2010","no"
"BPQ_F.XPT","NHANES public-use data","2009-2010","F","blood_pressure_questionnaire","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPQ_F.XPT","blood_pressure_questionnaire","2009-2010","no"
"BPX_F.XPT","NHANES public-use data","2009-2010","F","blood_pressure_exam","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPX_F.XPT","blood_pressure_exam","2009-2010","no"
"CBC_F.XPT","NHANES public-use data","2009-2010","F","complete_blood_count","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/CBC_F.XPT","complete_blood_count","2009-2010","no"
"COTNAL_F.XPT","NHANES public-use data","2009-2010","F","serum_cotinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/COTNAL_F.XPT","serum_cotinine","2009-2010","no"
"DEMO_F.XPT","NHANES public-use data","2009-2010","F","demographics","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.XPT","demographics","2009-2010","no"
"DIQ_F.XPT","NHANES public-use data","2009-2010","F","diabetes","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DIQ_F.XPT","diabetes","2009-2010","no"
"GHB_F.XPT","NHANES public-use data","2009-2010","F","glycohemoglobin","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/GHB_F.XPT","glycohemoglobin","2009-2010","no"
