"file_label","data_domain","cycle_or_year","cycle_suffix","module","file_type","source_url","local_path","download_status","size_bytes","sha256","error_message","copied_from_readonly","required_for"
"ALB_CR_F.XPT","NHANES public-use data","2009-2010","F","urine_albumin_creatinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/ALB_CR_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/ALB_CR_F.XPT","AVAILABLE",758400,"f902e8892db69054e8898022dc1ced19770cc2fa613bf2655455f6a4f1cfbb67",,,"urine_albumin_creatinine"
"BIOPRO_F.XPT","NHANES public-use data","2009-2010","F","biochemistry_serum_uric_acid","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BIOPRO_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/BIOPRO_F.XPT","AVAILABLE",2187200,"d138350f6a9318bb6a411b67f511e8eded677baa6ca8f4cad70dd86a0f0f428a",,,"biochemistry_serum_uric_acid"
"BMX_F.XPT","NHANES public-use data","2009-2010","F","body_measures","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BMX_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/BMX_F.XPT","AVAILABLE",1890560,"1fa42e07764037674c3f56e1e76f990e10c32245897597de3d731c57b91d869a",,,"body_measures"
"BPQ_F.XPT","NHANES public-use data","2009-2010","F","blood_pressure_questionnaire","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPQ_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/BPQ_F.XPT","AVAILABLE",1161040,"e592c987f07002eb309a63dc7ebf6a7eaa83d740a4fd6ae69af15da40c65a21a",,,"blood_pressure_questionnaire"
"BPX_F.XPT","NHANES public-use data","2009-2010","F","blood_pressure_exam","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPX_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/BPX_F.XPT","AVAILABLE",2219280,"d09af545c732e5fb72c437e870823ec5d9efaed1ef3522210dcc1d8f47b9be57",,,"blood_pressure_exam"
"CBC_F.XPT","NHANES public-use data","2009-2010","F","complete_blood_count","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/CBC_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/CBC_F.XPT","AVAILABLE",1656000,"47e7f693c7899a2d487502ec4a23accadf73001292dc566e8832364e48edd5f7",,,"complete_blood_count"
"COTNAL_F.XPT","NHANES public-use data","2009-2010","F","serum_cotinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/COTNAL_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/COTNAL_F.XPT","AVAILABLE",443760,"888835798429a68ce708f1a605e80450513b0e1c9c9c786315d0c056caf33ee2",,,"serum_cotinine"
"DEMO_F.XPT","NHANES public-use data","2009-2010","F","demographics","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/DEMO_F.XPT","AVAILABLE",3631600,"78c4d4a6e5eafa9da3bbb24a90d140fef5d8c0cda932a7ff8ee609288d4fae07",,,"demographics"
"DIQ_F.XPT","NHANES public-use data","2009-2010","F","diabetes","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DIQ_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/DIQ_F.XPT","AVAILABLE",1620960,"7e90371cbc98e77a9684eff32ffa0e4ee3e8fc04d97581a8773e19cb9fe901fa",,,"diabetes"
"GHB_F.XPT","NHANES public-use data","2009-2010","F","glycohemoglobin","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/GHB_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/GHB_F.XPT","AVAILABLE",118960,"98505d8aa707bd06b8b1d488d1ecdf13388bffea6ec1b89929726e7d2b32703b",,,"glycohemoglobin"
"MCQ_F.XPT","NHANES public-use data","2009-2010","F","medical_conditions","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/MCQ_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/MCQ_F.XPT","AVAILABLE",6562720,"c2f0f9223c6a9e38e5bf6d26501c4b11d3cfd97b82db46e1c9c266f24761c457",,,"medical_conditions"
"OHXDEN_F.XPT","NHANES public-use data","2009-2010","F","dentition","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/OHXDEN_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/OHXDEN_F.XPT","AVAILABLE",2561280,"f1f6c600338beacaa99d058c5f4ecba50cd9d698bd0a5a9a44345f3f739aef2b",,,"dentition"
"OHXPER_F.XPT","NHANES public-use data","2009-2010","F","periodontal_full_mouth","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/OHXPER_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/OHXPER_F.XPT","AVAILABLE",20542240,"248cb45277b546ecb2a1625146674c020f4db14d809d6ec9c2ea4367e5b29daa",,,"periodontal_full_mouth"
"RXQ_RX_F.XPT","NHANES public-use data","2009-2010","F","medications","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/RXQ_RX_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/RXQ_RX_F.XPT","AVAILABLE",3346560,"d42785fb8055924330d46592ae84396d823a3fe25f1d3390da42489246c182d5",,,"medications"
"SMQ_F.XPT","NHANES public-use data","2009-2010","F","smoking","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/SMQ_F.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2009-2010/SMQ_F.XPT","AVAILABLE",2580560,"ee85c82ea55046eb7bf491088b5bb9efecbea8aaf66ae8c89123bad23a5f1901",,,"smoking"
"ALB_CR_G.XPT","NHANES public-use data","2011-2012","G","urine_albumin_creatinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/ALB_CR_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/ALB_CR_G.XPT","AVAILABLE",377040,"46c5733d0bdb1d4bbe841614a3e6ef6b9dab8501f455af4f841cc43a312e579d",,,"urine_albumin_creatinine"
"BIOPRO_G.XPT","NHANES public-use data","2011-2012","G","biochemistry_serum_uric_acid","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BIOPRO_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/BIOPRO_G.XPT","AVAILABLE",1997040,"8c3a0b1bea79ff79c5600ad6a76c4206a7d689479f94ae81da6360058eda5d05",,,"biochemistry_serum_uric_acid"
"BMX_G.XPT","NHANES public-use data","2011-2012","G","body_measures","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BMX_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/BMX_G.XPT","AVAILABLE",1946720,"4814bfc3047ed400b9d43d285f8c3ea7c940ac6489404a9b699579715d158ec3",,,"body_measures"
