"cycle","variable","denominator","missing_n","missing_percent"
"2009-2010","BMI",3575,18,0.503496503496504
"2009-2010","CKD",3575,0,0
"2009-2010","CVD",3575,0,0
"2009-2010","PIR",3575,327,9.14685314685315
"2009-2010","SDMVPSU",3575,0,0
"2009-2010","SDMVSTRA",3575,0,0
"2009-2010","UACR",3575,19,0.531468531468531
"2009-2010","WTMEC6YR",3575,0,0
"2009-2010","age",3575,0,0
"2009-2010","death_allcause",3575,0,0
"2009-2010","diabetes",3575,59,1.65034965034965
"2009-2010","diuretic_use",3575,0,0
"2009-2010","education",3575,9,0.251748251748252
"2009-2010","egfr",3575,0,0
"2009-2010","followup_years",3575,0,0
"2009-2010","gout",3575,4,0.111888111888112
"2009-2010","hypertension",3575,6,0.167832167832168
"2009-2010","joint_urate_periodontitis",3575,0,0
"2009-2010","log_cotinine",3575,0,0
"2009-2010","race_ethnicity",3575,0,0
"2009-2010","sex",3575,0,0
"2009-2010","smoking_status",3575,0,0
"2009-2010","urate_lowering_therapy",3575,0,0
"2011-2012","BMI",3117,27,0.866217516843118
"2011-2012","CKD",3117,0,0
"2011-2012","CVD",3117,0,0
"2011-2012","PIR",3117,241,7.73179339108117
"2011-2012","SDMVPSU",3117,0,0
"2011-2012","SDMVSTRA",3117,0,0
"2011-2012","UACR",3117,17,0.54539621430863
"2011-2012","WTMEC6YR",3117,0,0
"2011-2012","age",3117,0,0
"2011-2012","death_allcause",3117,0,0
"2011-2012","diabetes",3117,66,2.11742059672762
"2011-2012","diuretic_use",3117,0,0
"2011-2012","education",3117,2,0.0641642605068977
"2011-2012","egfr",3117,0,0
"2011-2012","followup_years",3117,0,0
"2011-2012","gout",3117,1,0.0320821302534488
"2011-2012","hypertension",3117,2,0.0641642605068977
"2011-2012","joint_urate_periodontitis",3117,0,0
"2011-2012","log_cotinine",3117,3,0.0962463907603465
"2011-2012","race_ethnicity",3117,0,0
"2011-2012","sex",3117,0,0
"2011-2012","smoking_status",3117,3,0.0962463907603465
"2011-2012","urate_lowering_therapy",3117,0,0
"2013-2014","BMI",3496,18,0.51487414187643
"2013-2014","CKD",3496,0,0
"2013-2014","CVD",3496,0,0
"2013-2014","PIR",3496,266,7.60869565217391
"2013-2014","SDMVPSU",3496,0,0
"2013-2014","SDMVSTRA",3496,0,0
"2013-2014","UACR",3496,34,0.97254004576659
"2013-2014","WTMEC6YR",3496,0,0
"2013-2014","age",3496,0,0
"2013-2014","death_allcause",3496,0,0
"2013-2014","diabetes",3496,91,2.60297482837529
"2013-2014","diuretic_use",3496,0,0
"2013-2014","education",3496,2,0.05720823798627
"2013-2014","egfr",3496,0,0
"2013-2014","followup_years",3496,0,0
"2013-2014","gout",3496,2,0.05720823798627
"2013-2014","hypertension",3496,3,0.085812356979405
"2013-2014","joint_urate_periodontitis",3496,0,0
"2013-2014","log_cotinine",3496,5,0.143020594965675
"2013-2014","race_ethnicity",3496,0,0
"2013-2014","sex",3496,0,0
"2013-2014","smoking_status",3496,2,0.05720823798627
"2013-2014","urate_lowering_therapy",3496,0,0
