"cycle_or_year","file_label","module","variable_name","available"
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URXUMA",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URXUMS",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URXUCR",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URXCRS",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URDACT",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URXUMA2",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URDUMA2S",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URXUCR2",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URDUCR2S",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","URDACT2",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","ALB_CR_F.XPT","urine_albumin_creatinine","NHANES_CYCLE",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSAL",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSALSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSATSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSASSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSAPSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSBU",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSBUSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSCA",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSCASI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSCH",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSCHSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSC3SI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSCR",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSCRSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSGTSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSGL",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSGLSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSIR",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSIRSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSLDSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSPH",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSPHSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSTB",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSTBSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSTP",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSTPSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSTR",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSTRSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSUA",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSUASI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSNASI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSKSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSCLSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSOSSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBXSGB",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","LBDSGBSI",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","BIOPRO_F.XPT","biochemistry_serum_uric_acid","NHANES_CYCLE",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMDSTATS",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXWT",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMIWT",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXRECUM",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMIRECUM",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXHEAD",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMIHEAD",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXHT",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMIHT",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXBMI",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXLEG",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMILEG",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXARML",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMIARML",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXARMC",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMIARMC",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXWAIST",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMIWAIST",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXTRI",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMITRI",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMXSUB",TRUE
"2009-2010","BMX_F.XPT","body_measures","BMISUB",TRUE
"2009-2010","BMX_F.XPT","body_measures","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","BMX_F.XPT","body_measures","NHANES_CYCLE",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ020",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ030",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPD035",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ040A",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ050A",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ057",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ056",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPD058",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ059",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ060",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ070",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ080",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ090A",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ090B",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ090C",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ090D",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ100A",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ100B",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ100C",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","BPQ100D",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","BPQ_F.XPT","blood_pressure_questionnaire","NHANES_CYCLE",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","PEASCST1",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","PEASCTM1",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","PEASCCT1",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXCHR",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPQ150A",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPQ150B",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPQ150C",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPQ150D",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPAARM",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPACSZ",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXPLS",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXPULS",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXPTY",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXML1",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXSY1",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXDI1",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPAEN1",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXSY2",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXDI2",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPAEN2",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXSY3",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXDI3",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPAEN3",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXSY4",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPXDI4",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","BPAEN4",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","BPX_F.XPT","blood_pressure_exam","NHANES_CYCLE",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXWBCSI",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXLYPCT",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXMOPCT",TRUE
