"variable","n_total","n_missing","n_nonmissing"
"age",30468,0,30468
"sex",30468,0,30468
"race_ethnicity",30468,0,30468
"education",30468,12948,17520
"PIR",30468,2621,27847
"BMI",30468,3399,27069
"smoking_status",30468,12588,17880
"cotinine",30468,6810,23658
"log_cotinine",30468,6810,23658
"HbA1c",30468,10750,19718
"diabetes",30468,1597,28871
"hypertension",30468,10921,19547
"CVD",30468,12922,17546
"gout",30468,12937,17531
"urate_lowering_therapy",30468,0,30468
"diuretic_use",30468,0,30468
"egfr",30468,11079,19389
"UACR",30468,6382,24086
"CKD",30468,10386,20082
"uric_acid_mg_dl",30468,11084,19384
"hyperuricemia",30468,11084,19384
"periodontitis_4cat",30468,0,30468
"periodontitis_binary",30468,0,30468
"joint_urate_periodontitis",30468,11084,19384
"death_allcause",30468,12009,18459
"followup_years",30468,12606,17862
"WTMEC6YR",30468,0,30468
"SDMVSTRA",30468,0,30468
"SDMVPSU",30468,0,30468
"NHANES_CYCLE",30468,5765,24703
