"variable","denominator","missing_n","missing_percent"
"age",10188,0,0
"sex",10188,0,0
"race_ethnicity",10188,0,0
"education",10188,13,0.127601099332548
"PIR",10188,834,8.18610129564193
"BMI",10188,63,0.618374558303887
"smoking_status",10188,5,0.0490773458971339
"log_cotinine",10188,8,0.0785237534354142
"diabetes",10188,216,2.12014134275618
"hypertension",10188,11,0.107970160973695
"CVD",10188,0,0
"egfr",10188,0,0
"UACR",10188,70,0.687082842559874
"CKD",10188,0,0
"followup_years",10188,0,0
"death_allcause",10188,0,0
"joint_urate_periodontitis",10188,0,0
"WTMEC6YR",10188,0,0
"SDMVSTRA",10188,0,0
"SDMVPSU",10188,0,0
"gout",10188,7,0.0687082842559874
"urate_lowering_therapy",10188,0,0
"diuretic_use",10188,0,0
