"model","exposure_group","N","deaths","HR","conf_low","conf_high","p_value","events_in_exposure_group","HR_95CI","P_value"
"Model 1","Normouricemia + none/mild periodontitis",9018,743,1,,,,284,"Reference",""
"Model 1","Normouricemia + moderate/severe periodontitis",9018,743,1.55849543698086,1.20394829095436,2.01745211595822,0.000753468560753041,245,"1.56 (1.20-2.02)","<0.001"
"Model 1","Hyperuricemia + none/mild periodontitis",9018,743,1.55339726283723,1.17554855686398,2.05269534984373,0.00195272483102277,114,"1.55 (1.18-2.05)","0.002"
"Model 1","Hyperuricemia + moderate/severe periodontitis",9018,743,2.58209215323216,1.89296912737912,3.52208590797995,2.11485505361802e-09,100,"2.58 (1.89-3.52)","<0.001"
"Model 2","Normouricemia + none/mild periodontitis",9018,743,1,,,,284,"Reference",""
"Model 2","Normouricemia + moderate/severe periodontitis",9018,743,1.18679284104659,0.924461653795687,1.52356481393952,0.179046907498185,245,"1.19 (0.92-1.52)","0.179"
"Model 2","Hyperuricemia + none/mild periodontitis",9018,743,1.50086820979522,1.14100759478262,1.97422470584263,0.00369495293003359,114,"1.50 (1.14-1.97)","0.004"
"Model 2","Hyperuricemia + moderate/severe periodontitis",9018,743,2.08199214831283,1.50907121359586,2.87242329360153,7.970196965039e-06,100,"2.08 (1.51-2.87)","<0.001"
"Model 3","Normouricemia + none/mild periodontitis",9018,743,1,,,,284,"Reference",""
"Model 3","Normouricemia + moderate/severe periodontitis",9018,743,1.17967961960008,0.917837009359905,1.51622127971318,0.196901220818632,245,"1.18 (0.92-1.52)","0.197"
"Model 3","Hyperuricemia + none/mild periodontitis",9018,743,1.45066560308991,1.11156101586271,1.89322103056568,0.00617162830894239,114,"1.45 (1.11-1.89)","0.006"
"Model 3","Hyperuricemia + moderate/severe periodontitis",9018,743,1.9919763832022,1.43724304625767,2.76082039260318,3.50256996616849e-05,100,"1.99 (1.44-2.76)","<0.001"
"Model 4","Normouricemia + none/mild periodontitis",9018,743,1,,,,284,"Reference",""
"Model 4","Normouricemia + moderate/severe periodontitis",9018,743,1.15150673686292,0.897813303630542,1.47688585107706,0.266557500564008,245,"1.15 (0.90-1.48)","0.267"
"Model 4","Hyperuricemia + none/mild periodontitis",9018,743,1.34791090302534,1.03743272503225,1.75130758713834,0.0254121656708821,114,"1.35 (1.04-1.75)","0.025"
"Model 4","Hyperuricemia + moderate/severe periodontitis",9018,743,1.85109114328067,1.3295438561747,2.57722857716844,0.000265439929154044,100,"1.85 (1.33-2.58)","<0.001"
