"variable","group","value","level"
"Unweighted N","Normouricemia + none/mild periodontitis","5382",""
"Unweighted N","Normouricemia + moderate/severe periodontitis","2035",""
"Unweighted N","Hyperuricemia + none/mild periodontitis","1083",""
"Unweighted N","Hyperuricemia + moderate/severe periodontitis","518",""
"Weighted %","Normouricemia + none/mild periodontitis","65.6%",""
"Weighted %","Normouricemia + moderate/severe periodontitis","17.4%",""
"Weighted %","Hyperuricemia + none/mild periodontitis","12.6%",""
"Weighted %","Hyperuricemia + moderate/severe periodontitis","4.3%",""
"Age, years","Normouricemia + none/mild periodontitis","48.8 +/- 0.3","Weighted mean +/- SE"
"Age, years","Normouricemia + moderate/severe periodontitis","55.5 +/- 0.4","Weighted mean +/- SE"
"Age, years","Hyperuricemia + none/mild periodontitis","51.4 +/- 0.5","Weighted mean +/- SE"
"Age, years","Hyperuricemia + moderate/severe periodontitis","57.3 +/- 0.8","Weighted mean +/- SE"
"Sex","Normouricemia + none/mild periodontitis","3079 (55.9)","Female"
"Sex","Normouricemia + moderate/severe periodontitis","732 (36.7)","Female"
"Sex","Hyperuricemia + none/mild periodontitis","522 (45.2)","Female"
"Sex","Hyperuricemia + moderate/severe periodontitis","193 (38.6)","Female"
"Sex","Normouricemia + none/mild periodontitis","2303 (44.1)","Male"
"Sex","Normouricemia + moderate/severe periodontitis","1303 (63.3)","Male"
"Sex","Hyperuricemia + none/mild periodontitis","561 (54.8)","Male"
"Sex","Hyperuricemia + moderate/severe periodontitis","325 (61.4)","Male"
"Race/ethnicity","Normouricemia + none/mild periodontitis","695 (7.1)","Mexican American"
"Race/ethnicity","Normouricemia + moderate/severe periodontitis","395 (12.5)","Mexican American"
"Race/ethnicity","Hyperuricemia + none/mild periodontitis","89 (4.3)","Mexican American"
"Race/ethnicity","Hyperuricemia + moderate/severe periodontitis","62 (7.5)","Mexican American"
"Race/ethnicity","Normouricemia + none/mild periodontitis","883 (8.2)","Non-Hispanic Black"
"Race/ethnicity","Normouricemia + moderate/severe periodontitis","489 (14.2)","Non-Hispanic Black"
"Race/ethnicity","Hyperuricemia + none/mild periodontitis","241 (9.9)","Non-Hispanic Black"
"Race/ethnicity","Hyperuricemia + moderate/severe periodontitis","173 (19.9)","Non-Hispanic Black"
"Race/ethnicity","Normouricemia + none/mild periodontitis","2602 (72.9)","Non-Hispanic White"
"Race/ethnicity","Normouricemia + moderate/severe periodontitis","736 (59.6)","Non-Hispanic White"
"Race/ethnicity","Hyperuricemia + none/mild periodontitis","541 (75.2)","Non-Hispanic White"
"Race/ethnicity","Hyperuricemia + moderate/severe periodontitis","197 (61.6)","Non-Hispanic White"
